Voltage, ChA, Run #4
Time ( s )	Voltage ( V )
19,5500	0,176
19,5750	0,178
19,6000	0,176
19,6250	0,181
19,6500	0,178
19,6750	0,179
19,7000	0,176
19,7250	0,179
19,7500	0,178
19,7750	0,179
19,8000	0,178
19,8250	0,179
19,8500	0,179
19,8750	0,180
19,9000	0,179
19,9250	0,181
19,9500	0,181
19,9750	0,180
20,0000	0,180
20,0250	0,185
20,0500	0,183
20,0750	0,183
20,1000	0,183
20,1250	0,183
20,1500	0,182
20,1750	0,184
20,2000	0,183
20,2250	0,185
20,2500	0,185
20,2750	0,183
20,3000	0,181
20,3250	0,186
20,3500	0,186
20,3750	0,186
20,4000	0,185
20,4250	0,187
20,4500	0,186
20,4750	0,184
20,5000	0,187
20,5250	0,188
20,5500	0,186
20,5750	0,187
20,6000	0,186
20,6250	0,188
20,6500	0,187
20,6750	0,190
20,7000	0,189
20,7250	0,189
20,7500	0,190
20,7750	0,191
20,8000	0,187
20,8250	0,192
20,8500	0,191
20,8750	0,190
20,9000	0,189
20,9250	0,192
20,9500	0,191
20,9750	0,192
21,0000	0,192
21,0250	0,192
21,0500	0,190
21,0750	0,193
21,1000	0,193
21,1250	0,195
21,1500	0,195
21,1750	0,196
21,2000	0,194
21,2250	0,195
21,2500	0,193
21,2750	0,195
21,3000	0,195
21,3250	0,196
21,3500	0,195
21,3750	0,198
21,4000	0,197
21,4250	0,196
21,4500	0,197
21,4750	0,198
21,5000	0,195
21,5250	0,198
21,5500	0,198
21,5750	0,199
21,6000	0,197
21,6250	0,200
21,6500	0,200
21,6750	0,199
21,7000	0,198
21,7250	0,201
21,7500	0,200
21,7750	0,200
21,8000	0,199
21,8250	0,203
21,8500	0,201
21,8750	0,201
21,9000	0,203
21,9250	0,203
21,9500	0,200
21,9750	0,201
22,0000	0,200
22,0250	0,204
22,0500	0,201
22,0750	0,205
22,1000	0,204
22,1250	0,203
22,1500	0,203
22,1750	0,205
22,2000	0,204
22,2250	0,207
22,2500	0,206
22,2750	0,207
22,3000	0,204
22,3250	0,207
22,3500	0,204
22,3750	0,205
22,4000	0,205
22,4250	0,208
22,4500	0,206
22,4750	0,206
22,5000	0,206
22,5250	0,209
22,5500	0,208
22,5750	0,206
22,6000	0,207
