Voltage, ChB, Run #5
Time ( s )	Voltage ( V )
15,4250	0,475
15,4500	0,477
15,4750	0,481
15,5000	0,480
15,5250	0,483
15,5500	0,485
15,5750	0,490
15,6000	0,491
15,6250	0,490
15,6500	0,487
15,6750	0,491
15,7000	0,493
15,7250	0,491
15,7500	0,494
15,7750	0,493
15,8000	0,493
15,8250	0,503
15,8500	0,501
15,8750	0,507
15,9000	0,509
15,9250	0,508
15,9500	0,507
15,9750	0,508
16,0000	0,508
16,0250	0,510
16,0500	0,510
16,0750	0,511
16,1000	0,512
16,1250	0,518
16,1500	0,516
16,1750	0,516
16,2000	0,518
16,2250	0,523
16,2500	0,522
16,2750	0,528
16,3000	0,526
16,3250	0,531
16,3500	0,532
16,3750	0,534
16,4000	0,533
16,4250	0,536
16,4500	0,535
16,4750	0,541
16,5000	0,543
16,5250	0,538
16,5500	0,538
16,5750	0,546
16,6000	0,544
16,6250	0,550
16,6500	0,553
16,6750	0,549
16,7000	0,551
16,7250	0,561
16,7500	0,560
16,7750	0,560
16,8000	0,560
16,8250	0,562
16,8500	0,562
16,8750	0,562
16,9000	0,563
16,9250	0,568
16,9500	0,566
16,9750	0,574
17,0000	0,574
17,0250	0,574
17,0500	0,575
17,0750	0,571
17,1000	0,571
17,1250	0,586
17,1500	0,585
17,1750	0,577
17,2000	0,580
17,2250	0,588
17,2500	0,586
17,2750	0,588
17,3000	0,587
17,3250	0,589
17,3500	0,593
17,3750	0,595
17,4000	0,596
17,4250	0,596
17,4500	0,597
17,4750	0,595
17,5000	0,595
17,5250	0,606
17,5500	0,605
17,5750	0,602
17,6000	0,605
17,6250	0,614
17,6500	0,613
17,6750	0,611
17,7000	0,609
17,7250	0,613
17,7500	0,615
17,7750	0,616
17,8000	0,616
17,8250	0,619
17,8500	0,621
17,8750	0,616
17,9000	0,618
17,9250	0,626
17,9500	0,624
17,9750	0,626
18,0000	0,627
18,0250	0,635
18,0500	0,637
18,0750	0,637
18,1000	0,637
18,1250	0,645
18,1500	0,646
18,1750	0,641
18,2000	0,639
18,2250	0,644
18,2500	0,645
18,2750	0,645
18,3000	0,646
18,3250	0,654
18,3500	0,654
18,3750	0,648
18,4000	0,650
18,4250	0,660
18,4500	0,660
18,4750	0,657
18,5000	0,657
18,5250	0,667
18,5500	0,668
18,5750	0,664
18,6000	0,663
18,6250	0,667
18,6500	0,669
18,6750	0,668
18,7000	0,667
18,7250	0,676
18,7500	0,678
18,7750	0,675
18,8000	0,676
18,8250	0,688
18,8500	0,687
18,8750	0,675
18,9000	0,677
18,9250	0,689
18,9500	0,688
18,9750	0,689
19,0000	0,690
19,0250	0,695
19,0500	0,695
19,0750	0,697
19,1000	0,696
19,1250	0,698
19,1500	0,697
19,1750	0,692
19,2000	0,692
19,2250	0,703
19,2500	0,704
19,2750	0,703
19,3000	0,704
19,3250	0,711
19,3500	0,714
19,3750	0,708
19,4000	0,710
19,4250	0,709
19,4500	0,718
19,4750	0,718
19,5000	0,723
19,5250	0,723
19,5500	0,723
19,5750	0,723
19,6000	0,725
19,6250	0,725
19,6500	0,727
19,6750	0,729
19,7000	0,726
19,7250	0,729
19,7500	0,740
19,7750	0,740
19,8000	0,732
19,8250	0,735
19,8500	0,740
19,8750	0,742
19,9000	0,740
19,9250	0,742
19,9500	0,744
19,9750	0,748
20,0000	0,748
20,0250	0,749
20,0500	0,750
20,0750	0,753
20,1000	0,744
20,1250	0,745
20,1500	0,757
20,1750	0,761
20,2000	0,756
20,2250	0,756
20,2500	0,768
20,2750	0,766
20,3000	0,762
20,3250	0,764
20,3500	0,767
20,3750	0,766
20,4000	0,770
20,4250	0,770
20,4500	0,775
20,4750	0,776
20,5000	0,769
20,5250	0,770
20,5500	0,776
20,5750	0,779
20,6000	0,775
20,6250	0,776
20,6500	0,784
20,6750	0,787
20,7000	0,786
20,7250	0,786
20,7500	0,795
20,7750	0,797
20,8000	0,792
20,8250	0,792
20,8500	0,795
20,8750	0,795
20,9000	0,795
20,9250	0,797
20,9500	0,798
20,9750	0,800
21,0000	0,800
21,0250	0,801
21,0500	0,812
21,0750	0,811
21,1000	0,801
21,1250	0,802
21,1500	0,815
21,1750	0,815
21,2000	0,819
21,2250	0,817
21,2500	0,819
21,2750	0,823
21,3000	0,827
21,3250	0,827
21,3500	0,827
21,3750	0,830
21,4000	0,822
21,4250	0,822
21,4500	0,835
21,4750	0,834
21,5000	0,830
21,5250	0,831
21,5500	0,842
21,5750	0,844
21,6000	0,839
21,6250	0,840
21,6500	0,851
21,6750	0,850
21,7000	0,852
21,7250	0,853
21,7500	0,864
21,7750	0,862
21,8000	0,857
21,8250	0,858
21,8500	0,873
21,8750	0,875
21,9000	0,872
21,9250	0,872
21,9500	0,894
21,9750	0,895
22,0000	0,890
22,0250	0,891
22,0500	0,900
22,0750	0,900
22,1000	0,902
22,1250	0,900
22,1500	0,910
22,1750	0,911
22,2000	0,902
22,2250	0,902
22,2500	0,921
22,2750	0,923
22,3000	0,914
22,3250	0,913
22,3500	0,922
22,3750	0,923
22,4000	0,922
22,4250	0,920
22,4500	0,925
22,4750	0,926
22,5000	0,928
22,5250	0,927
22,5500	0,928
22,5750	0,930
22,6000	0,920
22,6250	0,919
22,6500	0,934
22,6750	0,936
22,7000	0,930
22,7250	0,929
22,7500	0,934
22,7750	0,936
22,8000	0,931
22,8250	0,930
22,8500	0,938
22,8750	0,938
22,9000	0,939
22,9250	0,938
22,9500	0,944
22,9750	0,943
23,0000	0,940
23,0250	0,941
23,0500	0,948
23,0750	0,947
23,1000	0,946
23,1250	0,946
23,1500	0,955
23,1750	0,955
23,2000	0,955
23,2250	0,956
23,2500	0,958
23,2750	0,961
23,3000	0,963
23,3250	0,962
23,3500	0,970
23,3750	0,969
23,4000	0,970
23,4250	0,967
23,4500	0,977
23,4750	0,978
23,5000	0,976
23,5250	0,975
23,5500	0,984
23,5750	0,983
23,6000	0,981
23,6250	0,981
23,6500	0,983
23,6750	0,982
23,7000	0,988
23,7250	0,989
23,7500	0,992
23,7750	0,994
23,8000	0,995
23,8250	0,994
23,8500	0,997
23,8750	0,997
23,9000	0,998
23,9250	1,000
23,9500	1,001
23,9750	0,999
24,0000	1,003
24,0250	1,003
24,0500	1,007
24,0750	1,008
24,1000	1,011
24,1250	1,010
24,1500	1,010
24,1750	1,012
24,2000	1,016
24,2250	1,015
24,2500	1,018
24,2750	1,017
24,3000	1,019
24,3250	1,019
24,3500	1,027
24,3750	1,028
24,4000	1,030
24,4250	1,029
24,4500	1,030
24,4750	1,030
24,5000	1,037
24,5250	1,036
24,5500	1,036
24,5750	1,034
24,6000	1,041
24,6250	1,041
24,6500	1,043
24,6750	1,043
24,7000	1,048
24,7250	1,047
24,7500	1,052
24,7750	1,054
24,8000	1,055
24,8250	1,055
24,8500	1,057
24,8750	1,057
24,9000	1,061
24,9250	1,062
24,9500	1,063
24,9750	1,061
25,0000	1,065
25,0250	1,067
25,0500	1,069
25,0750	1,071
25,1000	1,074
25,1250	1,073
25,1500	1,079
25,1750	1,079
25,2000	1,079
25,2250	1,081
25,2500	1,079
25,2750	1,079
25,3000	1,085
25,3250	1,085
25,3500	1,085
25,3750	1,086
25,4000	1,097
25,4250	1,096
25,4500	1,102
25,4750	1,100
25,5000	1,099
25,5250	1,100
25,5500	1,106
25,5750	1,104
25,6000	1,112
25,6250	1,111
25,6500	1,109
25,6750	1,110
25,7000	1,115
25,7250	1,113
25,7500	1,118
25,7750	1,118
25,8000	1,122
25,8250	1,122
25,8500	1,124
25,8750	1,129
25,9000	1,130
25,9250	1,123
25,9500	1,123
25,9750	1,128
26,0000	1,129
26,0250	1,140
26,0500	1,141
26,0750	1,137
26,1000	1,137
26,1250	1,147
26,1500	1,146
26,1750	1,147
26,2000	1,150
26,2250	1,149
26,2500	1,151
26,2750	1,157
26,3000	1,160
26,3250	1,155
26,3500	1,158
26,3750	1,163
26,4000	1,164
26,4250	1,169
26,4500	1,169
26,4750	1,169
26,5000	1,171
26,5250	1,169
26,5500	1,169
26,5750	1,180
26,6000	1,180
26,6250	1,178
26,6500	1,178
26,6750	1,187
26,7000	1,188
26,7250	1,188
26,7500	1,187
26,7750	1,193
26,8000	1,193
26,8250	1,197
26,8500	1,200
26,8750	1,198
26,9000	1,201
26,9250	1,198
26,9500	1,196
26,9750	1,210
27,0000	1,209
27,0250	1,211
27,0500	1,212
27,0750	1,212
27,1000	1,213
27,1250	1,214
27,1500	1,214
27,1750	1,221
27,2000	1,224
27,2250	1,221
27,2500	1,221
27,2750	1,227
27,3000	1,229
27,3250	1,229
27,3500	1,230
27,3750	1,240
27,4000	1,242
27,4250	1,235
27,4500	1,234
27,4750	1,249
27,5000	1,251
27,5250	1,248
27,5500	1,248
27,5750	1,258
27,6000	1,257
27,6250	1,249
27,6500	1,252
27,6750	1,263
27,7000	1,264
27,7250	1,262
27,7500	1,262
27,7750	1,273
27,8000	1,272
27,8250	1,268
27,8500	1,270
27,8750	1,278
27,9000	1,278
27,9250	1,278
27,9500	1,280
27,9750	1,287
28,0000	1,287
28,0250	1,284
28,0500	1,283
28,0750	1,296
28,1000	1,298
28,1250	1,288
28,1500	1,287
28,1750	1,304
28,2000	1,306
28,2250	1,299
28,2500	1,300
28,2750	1,309
